epoch;conv2d_34_loss;loss;multiply_loss;subtract_2_loss;val_conv2d_34_loss;val_loss;val_multiply_loss;val_subtract_2_loss
0;0.18734294176101685;0.18747153878211975;2.745082565525081e-05;0.00015729188453406096;0.07147490233182907;0.07147490233182907;0.0;0.0
1;0.149869903922081;0.14987275004386902;9.478806646256999e-07;3.425124305067584e-06;0.06820506602525711;0.06820506602525711;0.0;0.0
2;0.1405627578496933;0.1405627578496933;0.0;0.0;0.06451280415058136;0.06451280415058136;0.0;0.0
3;0.1330227255821228;0.13303199410438538;0.0;1.1598267519730143e-05;0.048996470868587494;0.048996470868587494;0.0;0.0
4;0.12884531915187836;0.12884534895420074;0.0;2.7050594653132976e-08;0.06399648636579514;0.06399648636579514;0.0;2.4274435543245043e-13
5;0.12324588745832443;0.12324588745832443;0.0;1.3753693496598718e-11;0.04529745876789093;0.04529745876789093;0.0;0.0
6;0.12235461920499802;0.12235461920499802;0.0;6.266345081717972e-12;0.05230770632624626;0.05230770632624626;0.0;0.0
7;0.11976102739572525;0.11976102739572525;0.0;1.725887905897408e-13;0.05614745244383812;0.05614745244383812;0.0;0.0
8;0.11625608056783676;0.11625608056783676;0.0;0.0;0.051434680819511414;0.051434680819511414;0.0;0.0
9;0.11490640789270401;0.11490640789270401;0.0;0.0;0.05333664268255234;0.05333664268255234;0.0;0.0
10;0.11379962414503098;0.11379962414503098;1.044433339814077e-08;1.3096174145132977e-09;0.060693081468343735;0.060693081468343735;0.0;0.0
11;0.1101248636841774;0.1101248636841774;0.0;0.0;0.07246077060699463;0.07246077060699463;0.0;0.0
12;0.1110396608710289;0.1110396608710289;0.0;0.0;0.07083949446678162;0.07083949446678162;0.0;0.0
13;0.11051905155181885;0.11051905155181885;1.0871894495778633e-08;1.4657246527605139e-09;0.05726100131869316;0.05726100131869316;0.0;0.0
14;0.10643653571605682;0.10643653571605682;3.061017039840408e-08;0.0;0.049420636147260666;0.049420636147260666;0.0;0.0
15;0.10533179342746735;0.1067824438214302;0.00019185058772563934;0.001789312926121056;0.09209650754928589;2.4743735790252686;23.62257194519043;0.025025347247719765
16;0.13717883825302124;0.15847012400627136;0.001786372042261064;0.026390831917524338;0.06223243847489357;0.06223243847489357;0.0;0.0
17;0.13790728151798248;0.13790728151798248;1.5394631347476206e-08;7.034400173466793e-09;0.07511986792087555;0.07511986792087555;0.0;0.0
18;0.1250365674495697;0.1250365674495697;0.0;0.0;0.058948248624801636;0.058948248624801636;0.0;0.0
19;0.11678922921419144;0.11678922921419144;1.6209189546145808e-09;1.4012179194722307e-09;0.05263979732990265;0.05263979732990265;0.0;0.0
20;0.15827587246894836;0.17792758345603943;0.008298172615468502;0.02352728135883808;0.06423159688711166;0.06423159688711166;0.0;0.0
